Name,State,Country,Address,Latitude,Longitude,Google Map Link,Domestic/International,Type
Khalifa Port,Abu Dhabi,United Arab Emirates,Kizad - Khalifa Industrial Zone - Abu Dhabi - United Arab Emirates,24.8099016,54.6494965,https://www.google.com/maps/place/?q=place_id:ChIJnytrsMj7Xj4R9R0d7v7oaxo,Domestic,Unknown
Abu Dhabi Port - Gate 1,Abu Dhabi,United Arab Emirates,446 Al Meena St,24.5150154,54.3815806,https://www.google.com/maps/place/?q=place_id:ChIJhZ5GXe5nXj4RQu3RRDAcXa0,Domestic,Unknown
Dhow Harbour,,United Arab Emirates,185 Al Doum St,24.5140864,54.3716395,https://www.google.com/maps/place/?q=place_id:ChIJE0OpX-xmXj4RlxuLl2Yu-UU,Domestic,Unknown
New Free Port Gate No 03,Abu Dhabi,United Arab Emirates,G9H8+QFX - Al Mashbak St,24.5294905,54.3662437,https://www.google.com/maps/place/?q=place_id:ChIJT8k7fcVnXj4REx5yM_AZPr4,Domestic,Unknown
AD Ports Group مجموعة موانئ أبوظبي,Abu Dhabi,United Arab Emirates,Al Meena St,24.5145727,54.3824697,https://www.google.com/maps/place/?q=place_id:ChIJI6u84eRmXj4RLtdQhHliODw,Domestic,Unknown
Khalifa Port,أبو ظبي,United Arab Emirates,QMR7+WXF - Unnamed Road - Al Ma'mourahKhalifa Industrial Zone,24.7923204,54.6649137,https://www.google.com/maps/place/?q=place_id:ChIJxzZ13M_7Xj4RkY-peh96wOE,Domestic,Unknown
Zadco Port,Abu Dhabi,United Arab Emirates,G9P5+8M9,24.535785,54.3592478,https://www.google.com/maps/place/?q=place_id:ChIJE9Sw87JmXj4RAmkz6rzQX84,Domestic,Unknown
Abu Dhabi Terminals مرافئ أبوظبي,أبو ظبي,United Arab Emirates,RJ3R+7H2 - Khalifa Port ADT - Sheikh Khalifa Hwy,24.8030537,54.6413788,https://www.google.com/maps/place/?q=place_id:ChIJEe3XPUb6Xj4RqryR3FJmEKY,Domestic,Unknown
FREEPORT,Abu Dhabi,United Arab Emirates,New Mina Port,24.5328975,54.3644806,https://www.google.com/maps/place/?q=place_id:ChIJLQ-z0J9nXj4Rj2tk1hNg4Z4,Domestic,Unknown
Cruise Pirs Abu Dhabi,Abu Dhabi,United Arab Emirates,G9HJ+PM4,24.5292709,54.381704,https://www.google.com/maps/place/?q=place_id:ChIJz66R80NnXj4RK7_Fr-gIkVU,Domestic,Unknown
Khalifa Port Pass Office,Abu Dhabi,United Arab Emirates,77 Al Warqa St,24.7774003,54.7100355,https://www.google.com/maps/place/?q=place_id:ChIJT1gxOp7_Xj4RQneK-j55MBU,Domestic,Unknown
Musaffah Western Terminal,Abu Dhabi,United Arab Emirates,9F25+RPV,24.3521105,54.4593103,https://www.google.com/maps/place/?q=place_id:ChIJz9qnhe1BXj4RFXpIM1y_wAg,Domestic,Unknown
Khalifa Port,Abu Dhabi,United Arab Emirates,QPG7+746,24.7756568,54.7127647,https://www.google.com/maps/place/?q=place_id:ChIJz5NwO8f-Xj4Rm8lNHU1e4h8,Domestic,Unknown
Shiekh Hamdan Port,Abu Dhabi,United Arab Emirates,F924+F2Q,24.4512159,54.3551095,https://www.google.com/maps/place/?q=place_id:ChIJZRQ5I25pXj4RW01xyZpdqBk,Domestic,Unknown
port zayad,Abu Dhabi,United Arab Emirates,F89P+W6R - Corniche Rd,24.4698718,54.3355083,https://www.google.com/maps/place/?q=place_id:ChIJsZ2nq7VlXj4R9QHKjNr-vFM,Domestic,Unknown
Zayed Port,Abu Dhabi,United Arab Emirates,Al Meena St,24.520089,54.3836171,https://www.google.com/maps/place/?q=place_id:ChIJq3MPV-FmXj4RjzrJUh_J5uI,Domestic,Unknown
free port,Abu Dhabi,United Arab Emirates,27 Al Doum St,24.515115,54.371117,https://www.google.com/maps/place/?q=place_id:ChIJC5WN26ZnXj4R_EnlJ3DkKVY,Domestic,Unknown
Khalifa Port,Abu Dhabi,United Arab Emirates,Al Ma'mourah - KizadKhalifa Industrial Zone - Abu Dhabi - United Arab Emirates,24.8108689,54.6512788,https://www.google.com/maps/place/?q=place_id:ChIJaekZl7b7Xj4RjvgIJ66IvUs,Domestic,Unknown
Royal Port Restaurant & Cafe,Abu Dhabi,United Arab Emirates,near cruise terminal,24.5300679,54.3799676,https://www.google.com/maps/place/?q=place_id:ChIJQzmW6sdnXj4R-VygiWszbqA,Domestic,Unknown
Khalifa Port Gate No.4,Abu Dhabi,United Arab Emirates,QPH6+M7R,24.7792266,54.7106279,https://www.google.com/maps/place/?q=place_id:ChIJ27mwnQz_Xj4RXhFOFJi3680,Domestic,Unknown
Gate no 4 new free port,Abu Dhabi,United Arab Emirates,67 Al Qibli St,24.5288352,54.363305,https://www.google.com/maps/place/?q=place_id:ChIJVxMRZk1nXj4RHcdUgN4QnEE,Domestic,Unknown
